ext,proj_name,type,len,text,referencedLine
java,cassandra,singleton,1,// we expect EOF when rebuilding,"if (!(e.getCause() instanceof EOFException))
                throw e;"
java,cassandra,singleton,1,// return the closest,"return Math.max((end - 1), 0);"
java,elasticsearch,singleton,1,// dest index with docs,var destIndex = ReindexDataStreamIndexTransportAction.generateDestIndexName(sourceIndex);
java,hadoop,block,3,"// This means AMStartedEvents began and this event is a
// non-AMStarted event.
// No need to continue reading all the other events.",break;
java,hadoop,singleton,1,"// initialize the metadata cache, if needed",initializeMetadataCache(conf);
java,beam,singleton,1,// Neither the field nor the subfield is selected. This means we should select it.,fieldNamesToSelect.add(field.getName());
java,elasticsearch,singleton,1,"// The following classes use MethodHandles.lookup during initialization, load them now (before SM) to be sure they succeed","AbstractRefCounted.class ,"
java,elasticsearch,singleton,1,"// Update rate limits to be ""node-local""",var numAssignedNodes = assignedNodes.size();
java,elasticsearch,singleton,1,// Step 1. Get field capabilities necessary to build the information of how to extract fields,FieldCapabilitiesRequest fieldCapabilitiesRequest = new FieldCapabilitiesRequest();
java,elasticsearch,singleton,1,// 404 here means the endpoint was not created,"if (e.getResponse().getStatusLine().getStatusCode() != 404) {
                throw e;
            }"
java,hadoop,singleton,1,//,"final Block blockToInvalidate = getBlockOnStorage(storedBlock, chosen);"
java,ignite,singleton,1,// tag::delete[],"IgniteCache<Long, Person> cache = ignite.cache(""personCache"");"
java,hadoop,singleton,1,// Avoid NPE as possible.,"if (editLogStream == null) {
      return 0;
    }"
java,elasticsearch,block,2,"// #IndexMetadataVerifier#convertSharedCacheTierPreference(IndexMetadata)} later so we just store a null
// to be able to build a temporary instance",tierPreference = null;
java,elasticsearch,singleton,1,"// Since we have support for getLabelPosition as a runtime field, we can utilize that here by defining an implicit field","Map<String, Object> mappings = new HashMap<>();"
java,hadoop,singleton,1,//Error getting redirect url. Fall through.,}
java,hadoop,block,2,"// try closing the proxy. Here if someone is already using it
// then we might not close it. In which case we will wait.",removeProxy(proxy);
java,kafka,block,2,"// this can happen when a partition is paused before fetched records are returned to the consumer's
// poll call or if the offset is being reset","log.debug(""Not returning fetched records for assigned partition {} since it is no longer fetchable"", tp);"
java,beam,block,2,"// If a coder was not specified explicitly, infer it from the OutputT type parameter
// of the output key fn.",TypeDescriptor<KeyT> keyT = TypeDescriptors.outputOf(getOutputKeyFn());
java,ignite,block,2,"// Check classes with class loader only when classes points to classes to avoid redundant check.
// Resources map contains two entries for class with task name(alias).","if (entry.getKey().equals(entry.getValue()) && isResourceExist(ldr, entry.getKey()) &&
                        !U.hasParent(clsLdrToIgnore, ldr) &&
                        (!ENABLE_IGNITE_DEPLOYMENT_ADDITIONAL_CHECK || clsLdrRsrcs.containsKey(entry.getKey())) &&
                        ldrRsrcs.remove(ldr, clsLdrRsrcs)) {
                        // Add class loaders in collection to notify listener outside synchronization block.
                        rmvClsLdrs.add(ldr);

                        if (log.isDebugEnabled())
                            log.debug(""Removed resources after checking existence [ldr="" + ldr +
                                "", clsLdrRsrcs="" + clsLdrRsrcs + "", rsrcs="" + rsrcs + ']');

                        res = true;

                        break;
                    }"
java,elasticsearch,singleton,1,// invalid secondary auth header,"getIndicesRequest.setOptions(
            RequestOptions.DEFAULT.toBuilder().addHeader(""Authorization"", ADMIN_TOKEN).addHeader(""es-secondary-authorization"", ""junk"")
        );"
java,hadoop,block,2,"// if excludedRoot is an inner node, get the counts of all nodes on
// this subtree of that storage type.","excludeCount = ((DFSTopologyNodeImpl) excludeRoot)
            .getSubtreeStorageCount(type);"
java,ignite,singleton,1,// Metadata for current cache must be first in list.,col.add(new GridCacheQuerySqlMetadataV2(map.remove(cacheName)));
java,elasticsearch,singleton,1,"// create the actual bundle task, which zips up all the files for the plugin","final var bundle = project.getTasks().register(""bundlePlugin"", Zip.class, zip -> zip.with(bundleSpec));"
java,elasticsearch,singleton,1,// TODO add WITH,"return "" | enrich "" + randomFrom(policiesOnKeyword(policies)).policyName() + "" on "" + field;"
java,elasticsearch,singleton,1,// don't modify size until we know heap access didn't throw AIOOB.,long index = size + 1;
java,elasticsearch,singleton,1,// Check if we can parse as a long. If so then hint that the user might prefer that.,"Long.parseLong(numeric, radix);"
java,elasticsearch,singleton,1,// caching of check result unsupported,listener = originalListener;
py,core,block,2,"# ensures functionality is consistent between template and trigger template
# entities.","self._available = True
            log_triggered_template_error(self.entity_id, err, key=CONF_AVAILABILITY)"
py,transformers,block,5,"# endregion
# region Load pretrained model and tokenizer
#
# Load pretrained model and tokenizer","config = AutoConfig.from_pretrained(
        model_args.config_name if model_args.config_name else model_args.model_name_or_path,
        cache_dir=model_args.cache_dir,
        revision=model_args.model_revision,
        token=model_args.token,
        trust_remote_code=model_args.trust_remote_code,
    )"
py,core,singleton,1,# Try to connect,"if await self.aftv.adb_connect(log_errors=self._failed_connect_count == 0):
                self._failed_connect_count = 0
                self._attr_available = True
            else:
                self._failed_connect_count += 1"
py,core,singleton,1,"# Zooz uses this vid/pid, but so do 2652 sticks","if vid == ""10C4"" and pid == ""EA60"" and description and ""2652"" in description:
            return self.async_abort(reason=""not_zwave_device"")"
py,transformers,singleton,1,# Instantiate the tokenizer.,"try:
            tokenizer = cls(*init_inputs, **init_kwargs)
        except import_protobuf_decode_error():
            logger.info(
                ""Unable to load tokenizer model from SPM, loading from TikToken will be attempted instead.""
                ""(Google protobuf error: Tried to load SPM model with non-SPM vocab file)."",
            )
            return False
        except RuntimeError as e:
            if ""sentencepiece_processor.cc"" in str(e):
                logger.info(
                    ""Unable to load tokenizer model from SPM, loading from TikToken will be attempted instead.""
                    ""(SentencePiece RuntimeError: Tried to load SPM model with non-SPM vocab file)."",
                )
            return False
        except OSError:
            raise OSError(
                ""Unable to load vocabulary from file. ""
                ""Please check that the provided vocabulary is accessible and not corrupted.""
            )"
py,django,block,2,"# Serve only HTTP connections.
# FIXME: Allow to override this.","if scope[""type""] != ""http"":
            raise ValueError(
                ""Django can only handle ASGI/HTTP connections, not %s."" % scope[""type""]
            )"
py,transformers,block,4,"# this operation is a bit awkward, but it's required to
# make sure that attn_weights keeps its gradient.
# In order to do so, attn_weights have to be reshaped
# twice and have to be reused in the following","attn_weights_reshaped = attn_weights.view(bsz, self.num_heads, tgt_len, src_len)
            attn_weights = attn_weights_reshaped.view(bsz * self.num_heads, tgt_len, src_len)"
py,transformers,block,3,"# colwise shard weight/bias to Shard(0), weight be Shard(-2) (0 if you have 1 dim only)
# means Colwise as Linear is input * weight^T + bias, where
# weight would become Shard(1)","if param_type == ""bias"":
            parameter = get_tensor_shard(param, empty_param, device_mesh, rank, -1)
            shard = [Shard(-1)]
        else:
            shard = [Shard(-2)]
            parameter = get_tensor_shard(param, empty_param, device_mesh, rank, -2)

        parameter = parameter.to(param_casting_dtype)
        if to_contiguous:
            parameter = parameter.contiguous()
        if self.use_dtensor:
            parameter = DTensor.from_local(parameter, device_mesh, shard, run_check=False)
        return nn.Parameter(parameter, requires_grad=parameter.is_floating_point())"
py,core,block,5,"# Simplified + modified version of EntityPlatform.async_reset:
# - group.group never retries setup
# - group.group never polls
# - We don't need to reset EntityPlatform._setup_complete
# - Only remove entities which were not created by service calls","tasks = [
            entity.async_remove()
            for entity in component.entities
            if entity.entity_id.startswith(""group."") and not entity.created_by_service
        ]"
py,stablediffusion,block,3,"# img1 and img2 have range [0, 255]
#img1 = img1.squeeze()
#img2 = img2.squeeze()","if not img1.shape == img2.shape:
        raise ValueError('Input images must have the same dimensions.')
    h, w = img1.shape[:2]
    img1 = img1[border:h-border, border:w-border]
    img2 = img2[border:h-border, border:w-border]

    img1 = img1.astype(np.float64)
    img2 = img2.astype(np.float64)
    mse = np.mean((img1 - img2)**2)
    if mse == 0:
        return float('inf')
    return 20 * math.log10(255.0 / math.sqrt(mse))"
py,transformers,block,2,"# The routers introduced might not always map all the tokens, to a router, which means that some hidden states
# can be unchanged from one layer to another. That is why the hidden states are cloned before updating only the selected ones.",next_states = hidden_states.clone()
py,django,singleton,1,"# field with relation, includes the *_id name too","try:
                res[field.attname] = field
            except AttributeError:
                pass"
py,transformers,singleton,1,# residual connection,hidden_states = residual + hidden_states
py,transformers,singleton,1,"# decoder outputs consists of (dec_features, layer_state, dec_hidden, dec_attn)","outputs: BaseModelOutputWithPast = self.model(
            input_ids=input_ids,
            attention_mask=attention_mask,
            position_ids=position_ids,
            past_key_values=past_key_values,
            inputs_embeds=inputs_embeds,
            use_cache=use_cache,
            output_attentions=output_attentions,
            output_hidden_states=output_hidden_states,
            cache_position=cache_position,
        )"
py,transformers,singleton,1,# End token index of the current span in the text.,token_end_index = len(input_ids) - 1
py,scikit-learn,block,4,"# DeprecationWarning will be replaced by ValueError, see NEP 34
# https://numpy.org/neps/nep-0034-infer-dtype-is-object.html
# We therefore catch both deprecation (NumPy < 1.24) warning and
# value error (NumPy >= 1.24).","check_y_kwargs = dict(
        accept_sparse=True,
        allow_nd=True,
        ensure_all_finite=False,
        ensure_2d=False,
        ensure_min_samples=0,
        ensure_min_features=0,
    )"
py,transformers,singleton,1,# be retrained,"if fast_tokenizer.vocab_size > TARGET_VOCAB_SIZE:
                fast_tokenizer = convert_tokenizer(fast_tokenizer)"
py,core,singleton,1,# Remove trailing comma if it's there,"if identifier[-1] == "","":
                    identifier = identifier[:-1]
                notification_msg = f""{notification_msg} {identifier}."""
py,transformers,singleton,1,# fmt: on,"rename_keys.append((""norm.weight"", ""backbone.layernorm.weight""))"
py,localstack,singleton,1,# setup security based on the version,"self._setup_security(install_dir, parsed_version)"
py,core,block,2,"# Update the feature attributes so the registered entity contains
# values like unit_of_measurement and suggested_display_precision",self._async_call_update_attrs()
py,core,singleton,1,# Update options,entry.async_on_unload(entry.add_update_listener(update_listener))
py,ansible,block,2,"# Calculate the offset needed to strip the base_path to make relative
# paths","if base_path is None:
        base_path = topdir"
py,transformers,block,3,"# idxs = context_len + torch.arange(0, context_len).unsqueeze(0) - torch.arange(0, seq_len).unsqueeze(1)
# # matrix of context_len + i-j
# return positional_attn.gather(3, idxs.expand([batch_size, n_head, context_len, context_len]))","positional_attn = torch.reshape(positional_attn, [batch_size, n_head, max_rel_len, seq_len])"
py,transformers,singleton,1,# TODO (@alex-jw-brooks) add an example to this docstring once models are released,output_attentions = output_attentions if output_attentions is not None else self.config.output_attentions
py,scikit-learn,singleton,1,# used for the convergence criterion,"error_at_init = _beta_divergence(X, W, H, beta_loss, square_root=True)"
py,transformers,block,3,"# For SDPA, when possible, we will rely on its `is_causal` argument instead of its `attn_mask` argument, in
# order to dispatch on Flash Attention 2. This feature is not compatible with static cache, as SDPA will fail
# to infer the attention mask.",past_seen_tokens = past_key_values.get_seq_length() if past_key_values is not None else 0
py,transformers,singleton,1,# Initialize weights and apply final processing,self.post_init()
py,django,block,2,"# Potentially cleanse the request and any MultiValueDicts if they
# are one of the frame variables.","for name, value in tb_frame.f_locals.items():
                cleansed[name] = self.cleanse_special_types(request, value)"
py,transformers,singleton,1,# load config from file and command-line arguments,"cfg = get_cfg()
    add_deeplab_config(cfg)
    add_common_config(cfg)
    add_oneformer_config(cfg)
    add_swin_config(cfg)
    add_dinat_config(cfg)
    cfg.merge_from_file(args.config_file)
    cfg.freeze()
    return cfg"
py,ansible,singleton,1,# https://remram44.github.io/regex-cheatsheet/regex.html#programs,"elif re_type == 'posix_extended':
        raise AnsibleFilterError('Regex type (%s) not yet implemented' % re_type)"
py,core,block,2,"# output; use the original render instead of the evaluated one.
# Complex and scientific values are also unexpected. Filter them out.","if (
        # Filter out string and complex numbers
        not isinstance(result, (str, complex))
        and (
            # Pass if not numeric and not a boolean
            not isinstance(result, (int, float))
            # Or it's a boolean (inherit from int)
            or isinstance(result, bool)
            # Or if it's a digit
            or _IS_NUMERIC.match(render_result) is not None
        )
    ):
        return result"
py,transformers,singleton,1,# read the file,"if filename != ""warnings.txt"":
                    continue
                with open(file_path) as fp:
                    parse_line(fp)"
py,core,singleton,1,# Inside voice command,"self.in_command = True
                    self._command_seconds_left = (
                        self.command_seconds - self.speech_seconds
                    )
                    self._silence_seconds_left = self.silence_seconds
                    _LOGGER.debug(""Voice command started"")"
py,transformers,inline,1,"# [batch, seq_len, hidden_size]",contextualized_states = self.out_proj(scan_output.to(dtype))
py,transformers,block,2,"# In order to do so, attn_weights have to reshaped
# twice and have to be reused in the following","attn_weights_reshaped = attn_weights.view(bsz, self.num_heads, tgt_len, src_len)
            attn_weights = attn_weights_reshaped.view(bsz * self.num_heads, tgt_len, src_len)"
py,core,singleton,1,# Perform migration,"if not await self.async_migrate(hass):
                self._async_set_state(hass, ConfigEntryState.MIGRATION_ERROR, None)
                return"
py,transformers,inline,1,# total_num_heads x num_chunks x window_overlap*window_overlap+window_overlap,"chunked_hidden_states = chunked_hidden_states.view(
            total_num_heads, num_chunks, -1
        )"
py,transformers,inline,1,"# (n_docs, max_len)",generator_input_ids = context_input_ids[index * n_docs : (index + 1) * n_docs]
py,ComfyUI,singleton,1,# prepare txt for attention,txt_modulated = self.txt_norm1(txt)
py,django,singleton,1,# There shouldn't be any operations pending at this point.,from django.core.checks.model_checks import _check_lazy_references
py,core,singleton,1,# add listeners to handle new values that get added later,"for event in (""value added"", EVENT_VALUE_UPDATED, ""metadata updated""):
            self.config_entry.async_on_unload(
                node.on(
                    event,
                    lambda event: self.hass.async_create_task(
                        self.async_on_value_added(
                            value_updates_disc_info, event[""value""]
                        )
                    ),
                )
            )"
py,ansible,singleton,1,# the child process runs the actual module,"notice(""Start module (%s)"" % os.getpid())
                _run_module(cmd, jid)
                notice(""Module complete (%s)"" % os.getpid())"
py,transformers,singleton,1,# We verify the out indices and out features are valid,"verify_out_features_out_indices(
            out_features=out_features, out_indices=out_indices, stage_names=self.stage_names
        )"
py,core,singleton,1,# Create new credentials.,"return self.async_create_credentials({""username"": username})"
py,core,block,2,"# If it doesn't begin with a bed id or end with one of the sensor types,
# it doesn't need to be migrated","if parts[0] not in bed_ids or not old_unique_id.endswith(tuple(sensor_types)):
            return None"
py,django,singleton,1,# Retrieve objects from parameters.,"try:
            source_model = apps.get_model(app_label, model_name)
        except LookupError as e:
            raise PermissionDenied from e"
py,transformers,block,2,"# can concat previous decoder key/value_states to current projected key/value_states (third ""elif"" case)
# if encoder bi-directional self-attention `past_key_value` is always `None`","past_key_value = (key_states, value_states)"
py,transformers,singleton,1,"# [*, no_angles, 2]","s = s.view(s.shape[:-1] + (-1, 2))"
py,localstack,singleton,1,# this is a hack since we currently cannot know whether boot scripts have been executed or not,"init_script_manager().stage_completed[Stage.BOOT] = True
    _run_and_log(Stage.START)"
py,transformers,singleton,1,# Leave attn_output unchanged,"global_attn_probs = tf.zeros((batch_size, self.num_heads, max_num_global_attn_indices, seq_len))"
py,transformers,block,6,"# Further calls to cross_attention layer can then reuse all cross-attention
# key/value_states (first ""if"" case)
# if uni-directional self-attention (decoder) save Tuple(torch.Tensor, torch.Tensor) of
# all previous decoder key/value_states. Further calls to uni-directional self-attention
# can concat previous decoder key/value_states to current projected key/value_states (third ""elif"" case)
# if encoder bi-directional self-attention `past_key_value` is always `None`","past_key_value = (key_layer, value_layer)"
py,core,singleton,1,# Maybe the next alive message will result in a successful connection,self._ssdp_connect_failed = False
py,transformers,inline,1,# M_top,"top_u_sparsity_measurement = sparsity_measurement.topk(u, sorted=False)[1]"
py,ansible,singleton,1,"# In Python < 3.3, os.sched_getaffinity() is not available","nproc_cmd = self.module.get_bin_path('nproc')
            if nproc_cmd is not None:
                rc, out, _err = self.module.run_command(nproc_cmd)
                if rc == 0:
                    cpu_facts['processor_nproc'] = int(out)"
py,transformers,singleton,1,# Transpose,query_layer = self.transpose_for_scores(query_layer)
py,transformers,singleton,1,# compute accuracy,"accuracy = jnp.equal(jnp.argmax(logits, axis=-1), labels) * label_mask"
py,core,singleton,1,# Add entity to query full system,"entities.append(
        ISYNodeQueryButtonEntity(
            node=isy,
            name=""Query"",
            unique_id=f""{isy.uuid}_query"",
            device_info=DeviceInfo(identifiers={(DOMAIN, isy.uuid)}),
            entity_category=EntityCategory.DIAGNOSTIC,
        )
    )"
py,core,inline,1,# noqa: F401 pylint: disable=import-outside-toplevel,import cv2
py,ansible,singleton,1,# Keep track of context for warning messages,options_context.append(param)
py,scikit-learn,block,2,"# proportion of outliers equal to contamination parameter when not
# set to 'auto'","expected_outliers = 30
        contamination = float(expected_outliers) / n_samples
        estimator.set_params(contamination=contamination)
        y_pred = estimator.fit_predict(X)

        num_outliers = np.sum(y_pred != 1)
        # num_outliers should be equal to expected_outliers unless
        # there are ties in the decision_function values. this can
        # only be tested for estimators with a decision_function
        # method
        if num_outliers != expected_outliers and hasattr(
            estimator, ""decision_function""
        ):
            decision = estimator.decision_function(X)
            check_outlier_corruption(num_outliers, expected_outliers, decision)"
py,localstack,singleton,1,# call hooks to prepare host (note that this call should stay below the config overrides above),bootstrap.prepare_host(console)
py,core,inline,1,# Service Discovery,"self.register_plugin(""xep_0128"")"
py,transformers,block,2,"# Compute loss in fp32 to match with mesh-tf version
# https://github.com/EleutherAI/gpt-neo/blob/89ce74164da2fb16179106f54e2269b5da8db333/models/gpt2/gpt2.py#L179",lm_logits = lm_logits.to(torch.float32)
py,ansible,singleton,1,# DMI SPEC -- https://www.dmtf.org/sites/default/files/standards/documents/DSP0134_3.2.0.pdf,"FORM_FACTOR = [""Unknown"", ""Other"", ""Unknown"", ""Desktop"",
                           ""Low Profile Desktop"", ""Pizza Box"", ""Mini Tower"", ""Tower"",
                           ""Portable"", ""Laptop"", ""Notebook"", ""Hand Held"", ""Docking Station"",
                           ""All In One"", ""Sub Notebook"", ""Space-saving"", ""Lunch Box"",
                           ""Main Server Chassis"", ""Expansion Chassis"", ""Sub Chassis"",
                           ""Bus Expansion Chassis"", ""Peripheral Chassis"", ""RAID Chassis"",
                           ""Rack Mount Chassis"", ""Sealed-case PC"", ""Multi-system"",
                           ""CompactPCI"", ""AdvancedTCA"", ""Blade"", ""Blade Enclosure"",
                           ""Tablet"", ""Convertible"", ""Detachable"", ""IoT Gateway"",
                           ""Embedded PC"", ""Mini PC"", ""Stick PC""]

            DMI_DICT = {
                'bios_date': '/sys/devices/virtual/dmi/id/bios_date',
                'bios_vendor': '/sys/devices/virtual/dmi/id/bios_vendor',
                'bios_version': '/sys/devices/virtual/dmi/id/bios_version',
                'board_asset_tag': '/sys/devices/virtual/dmi/id/board_asset_tag',
                'board_name': '/sys/devices/virtual/dmi/id/board_name',
                'board_serial': '/sys/devices/virtual/dmi/id/board_serial',
                'board_vendor': '/sys/devices/virtual/dmi/id/board_vendor',
                'board_version': '/sys/devices/virtual/dmi/id/board_version',
                'chassis_asset_tag': '/sys/devices/virtual/dmi/id/chassis_asset_tag',
                'chassis_serial': '/sys/devices/virtual/dmi/id/chassis_serial',
                'chassis_vendor': '/sys/devices/virtual/dmi/id/chassis_vendor',
                'chassis_version': '/sys/devices/virtual/dmi/id/chassis_version',
                'form_factor': '/sys/devices/virtual/dmi/id/chassis_type',
                'product_name': '/sys/devices/virtual/dmi/id/product_name',
                'product_serial': '/sys/devices/virtual/dmi/id/product_serial',
                'product_uuid': '/sys/devices/virtual/dmi/id/product_uuid',
                'product_version': '/sys/devices/virtual/dmi/id/product_version',
                'system_vendor': '/sys/devices/virtual/dmi/id/sys_vendor',
            }

            for (key, path) in DMI_DICT.items():
                data = get_file_content(path)
                if data is not None:
                    if key == 'form_factor':
                        try:
                            dmi_facts['form_factor'] = FORM_FACTOR[int(data)]
                        except IndexError:
                            dmi_facts['form_factor'] = 'unknown (%s)' % data
                    else:
                        dmi_facts[key] = data
                else:
                    dmi_facts[key] = 'NA'"
py,ComfyUI,inline,1,#Stable diffusion x4 upscaler VAE,:
py,transformers,block,5,"# key/value_states (first ""if"" case)
# if uni-directional self-attention (decoder) save Tuple(tf.Tensor, tf.Tensor) of
# all previous decoder key/value_states. Further calls to uni-directional self-attention
# can concat previous decoder key/value_states to current projected key/value_states (third ""elif"" case)
# if encoder bi-directional self-attention `past_key_value` is always `None`","past_key_value = (key_states, value_states)"
py,transformers,singleton,1,"# the batch size = 1 case, `position_ids` is already contiguous but with varying stride which retriggers a capture.","model_inputs = {""input_ids"": input_ids.clone(memory_format=torch.contiguous_format), ""inputs_embeds"": None}"
py,core,inline,1,# only used in for check config script,:
py,transformers,block,2,"# Overwriting the output name as ""present"" since it is the name used for the ONNX outputs
# (""past_key_values"" being taken for the ONNX inputs)","if name == ""past_key_values"":
            name = ""present""
        if isinstance(value, (list, tuple)):
            value = config.flatten_output_collection_property(name, value)
            ref_outputs_dict.update(value)
        else:
            ref_outputs_dict[name] = value"
py,transformers,block,4,"# The embedding table in BERT models accounts for a substantial proportion of model size. To compress
# the embedding layer, we reduce the embedding dimension to 128 in MobileBERT.
# Then, we apply a 1D convolution with kernel size 3 on the raw token embedding to produce a 512
# dimensional output.","inputs_embeds = torch.cat(
                [
                    nn.functional.pad(inputs_embeds[:, 1:], [0, 0, 0, 1, 0, 0], value=0.0),
                    inputs_embeds,
                    nn.functional.pad(inputs_embeds[:, :-1], [0, 0, 1, 0, 0, 0], value=0.0),
                ],
                dim=2,
            )"
py,transformers,block,2,"# For the other tokens in a word, we set the label to either the current label or -100, depending on
# the label_all_tokens flag.","else:
                    label_ids.append(label_to_id[label[word_idx]] if data_args.label_all_tokens else -100)"
py,transformers,inline,1,# disable dropout,roberta.eval()
py,transformers,inline,1,# Here _preprocess needs do_pad and pad_size.,","
py,ansible,block,5,"# We store accumulated stdout and stderr output from the process here,
# but strip any privilege escalation prompt/confirmation lines first.
# Output is accumulated into tmp_*, complete lines are extracted into
# an array, then checked and removed or copied to stdout or stderr. We
# set any flags based on examining the output in self._flags.",b_stdout = b_stderr = b''
py,core,singleton,1,# Add conditions for each entity that belongs to this integration,"base_condition = {
            CONF_CONDITION: ""device"",
            CONF_DEVICE_ID: device_id,
            CONF_DOMAIN: DOMAIN,
            CONF_ENTITY_ID: entry.id,
        }"
py,transformers,singleton,1,# add LayerDrop (see https://arxiv.org/abs/1909.11556 for description),dropout_probability = torch.rand([])
py,django,singleton,1,# Autoincrement SQL (for backends with inline variant).,col_type_suffix = field.db_type_suffix(connection=self.connection)
py,transformers,singleton,1,"# [bsz, n_heads, from_seq_len//from_block_size-4, from_block_size, n_rand_blocks*to_block_size] x [bsz, n_heads, from_seq_len//from_block_size-4, n_rand_blocks*to_block_size, -1]","context_layer += self.torch_bmm_nd(
            attn_weights[:, :, :, :, 4 * to_block_size : -to_block_size], gathered_value[:, :, 1:-1], ndim=5
        )"
py,scikit-learn,inline,1,# hide NaN warnings,:
py,keras,singleton,1,# Create segment IDs for Splash Attention (for packing/batching),"segment_ids = jnp.zeros([bs, q_len], dtype=jnp.int32)"
py,transformers,block,3,"# all previous decoder key/value_states. Further calls to uni-directional self-attention
# can concat previous decoder key/value_states to current projected key/value_states (third ""elif"" case)
# if encoder bi-directional self-attention `past_key_value` is always `None`","past_key_value = (key_states, value_states)"
py,core,singleton,1,# in case the official Mosquitto Broker addon was re-installed.,"if (
                    entry_data[CONF_BROKER] == addon_discovery_config[CONF_HOST]
                    and entry_data[CONF_PORT] == addon_discovery_config[CONF_PORT]
                    and entry_data.get(CONF_USERNAME)
                    == (username := addon_discovery_config.get(CONF_USERNAME))
                    and entry_data.get(CONF_PASSWORD)
                    != (password := addon_discovery_config.get(CONF_PASSWORD))
                ):
                    _LOGGER.info(
                        ""Executing autorecovery %s add-on secrets"",
                        addon_manager.addon_name,
                    )
                    return await self.async_step_reauth_confirm(
                        user_input={CONF_USERNAME: username, CONF_PASSWORD: password}
                    )"
py,transformers,singleton,1,# Parse in args that could be `dict` sent in from the CLI as a string,"for field in self._VALID_DICT_FIELDS:
            passed_value = getattr(self, field)
            # We only want to do this if the str starts with a bracket to indicate a `dict`
            # else its likely a filename if supported
            if isinstance(passed_value, str) and passed_value.startswith(""{""):
                loaded_dict = json.loads(passed_value)
                # Convert str values to types if applicable
                loaded_dict = _convert_str_dict(loaded_dict)
                setattr(self, field, loaded_dict)"
py,core,singleton,1,# Convert 0-100 to 0-254,data[STATE_BRIGHTNESS] = round(percentage * HUE_API_STATE_BRI_MAX / 100)
py,transformers,singleton,1,# RAG-token marginalization,"seq_logprobs = nn.functional.log_softmax(seq_logits, dim=-1).view(
            seq_logits.shape[0] // n_docs, n_docs, -1, seq_logits.size(-1)
        )"
py,django,block,6,"# For join promotion this case is doing an AND for the added q_object
# and existing conditions. So, any existing inner join forces the join
# type to remain inner. Existing outer joins can however be demoted.
# (Consider case where rel_a is LOUTER and rel_a__col=1 is added - if
# rel_a doesn't produce any rows, then the whole condition must fail.
# So, demotion is OK.","existing_inner = {
            a for a in self.alias_map if self.alias_map[a].join_type == INNER
        }"
py,ansible,block,71,"# What it is we are wrapping here could be anything. We need to
# try and detect specific cases though. In particular, we need
# to detect when we are given something that is a method of a
# class. Further, we need to know when it is likely an instance
# method, as opposed to a class or static method. This can
# become problematic though as there isn't strictly a fool proof
# method of knowing.
#
# The situations we could encounter when wrapping a method are:
#
# 1. The wrapper is being applied as part of a decorator which
# is a part of the class definition. In this case what we are
# given is the raw unbound function, classmethod or staticmethod
# wrapper objects.
#
# The problem here is that we will not know we are being applied
# in the context of the class being set up. This becomes
# important later for the case of an instance method, because in
# that case we just see it as a raw function and can't
# distinguish it from wrapping a normal function outside of
# a class context.
#
# 2. The wrapper is being applied when performing monkey
# patching of the class type afterwards and the method to be
# wrapped was retrieved direct from the __dict__ of the class
# type. This is effectively the same as (1) above.
#
# 3. The wrapper is being applied when performing monkey
# patching of the class type afterwards and the method to be
# wrapped was retrieved from the class type. In this case
# binding will have been performed where the instance against
# which the method is bound will be None at that point.
#
# This case is a problem because we can no longer tell if the
# method was a static method, plus if using Python3, we cannot
# tell if it was an instance method as the concept of an
# unnbound method no longer exists.
#
# 4. The wrapper is being applied when performing monkey
# patching of an instance of a class. In this case binding will
# have been perfomed where the instance was not None.
#
# This case is a problem because we can no longer tell if the
# method was a static method.
#
# Overall, the best we can do is look at the original type of the
# object which was wrapped prior to any binding being done and
# see if it is an instance of classmethod or staticmethod. In
# the case where other decorators are between us and them, if
# they do not propagate the __class__  attribute so that the
# isinstance() checks works, then likely this will do the wrong
# thing where classmethod and staticmethod are used.
#
# Since it is likely to be very rare that anyone even puts
# decorators around classmethod and staticmethod, likelihood of
# that being an issue is very small, so we accept it and suggest
# that those other decorators be fixed. It is also only an issue
# if a decorator wants to actually do things with the arguments.
#
# As to not being able to identify static methods properly, we
# just hope that that isn't something people are going to want
# to wrap, or if they do suggest they do it the correct way by
# ensuring that it is decorated in the class definition itself,
# or patch it in the __dict__ of the class type.
#
# So to get the best outcome we can, whenever we aren't sure what
# it is, we label it as a 'function'. If it was already bound and
# that is rebound later, we assume that it will be an instance
# method and try an cope with the possibility that the 'self'
# argument it being passed as an explicit argument and shuffle
# the arguments around to extract 'self' for use as the instance.","if isinstance(wrapped, classmethod):
            binding = 'classmethod'

        elif isinstance(wrapped, staticmethod):
            binding = 'staticmethod'

        elif hasattr(wrapped, '__self__'):
            if inspect.isclass(wrapped.__self__):
                binding = 'classmethod'
            else:
                binding = 'function'

        else:
            binding = 'function'

        super(FunctionWrapper, self).__init__(wrapped, None, wrapper,
                enabled, binding)"
py,ansible,singleton,1,#   unaffected. src and dst are path names given as strings.,"shutil.copy2(src, dest)"
py,localstack,singleton,1,# https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/quotas-messages.html,"error = ""One or more parameters are invalid. ""
    error += f""Reason: Message must be shorter than {max_message_size} bytes.""
    if (
        _message_body_size(message_body) + _message_attributes_size(message_attributes)
        > max_message_size
    ):
        raise InvalidParameterValueException(error)"
